Model,HeldOutParticipant,Accuracy,Precision,Recall,F1,ROC_AUC
lstm,JG,0.8623853211009175,0.9222222222222223,0.9120879120879121,0.9171270718232044,0.9224664224664225
lstm,JMG,0.7108433734939759,0.43529411764705883,1.0,0.6065573770491803,0.950345694531741
lstm,MB,0.4072164948453608,0.6428571428571429,0.07563025210084033,0.13533834586466165,0.10263305322128853
lstm,RH1,0.6176470588235294,0.15789473684210525,0.23076923076923078,0.1875,0.6909090909090909
lstm,RH2,0.589041095890411,0.6,0.5675675675675675,0.5833333333333334,0.7274774774774775
lstm,SG,0.9666666666666667,0.9583333333333334,1.0,0.9787234042553191,0.9944789510006902
lstm,WR,0.4077669902912621,0.0,0.0,0.0,0.9383294301327089
lstm,ZP,0.791907514450867,1.0,0.5263157894736842,0.6896551724137931,0.9907759088442757
gru,JG,0.3853211009174312,1.0,0.26373626373626374,0.41739130434782606,0.9847374847374847
gru,JMG,0.22289156626506024,0.22289156626506024,1.0,0.3645320197044335,0.9040435784621831
gru,MB,0.34536082474226804,0.34615384615384615,0.07563025210084033,0.12413793103448276,0.1297478991596638
gru,RH1,0.6764705882352942,0.30434782608695654,0.5384615384615384,0.3888888888888889,0.7090909090909091
gru,RH2,0.6986301369863014,1.0,0.40540540540540543,0.5769230769230769,0.984984984984985
gru,SG,0.9555555555555556,1.0,0.9420289855072463,0.9701492537313433,1.0
gru,WR,0.4077669902912621,0.0,0.0,0.0,0.24863387978142076
gru,ZP,0.7803468208092486,1.0,0.5,0.6666666666666666,0.7486435160065111
cnn_lstm,JG,0.8532110091743119,0.9310344827586207,0.8901098901098901,0.9101123595505618,0.8791208791208791
cnn_lstm,JMG,0.2289156626506024,0.22424242424242424,1.0,0.36633663366336633,0.9469935051330399
cnn_lstm,MB,0.27835051546391754,0.40186915887850466,0.36134453781512604,0.3805309734513274,0.17490196078431372
cnn_lstm,RH1,0.5882352941176471,0.0,0.0,0.0,0.6825174825174826
cnn_lstm,RH2,0.6027397260273972,0.6666666666666666,0.43243243243243246,0.5245901639344263,0.78003003003003
cnn_lstm,SG,0.4888888888888889,0.7017543859649122,0.5797101449275363,0.6349206349206349,0.5162180814354728
cnn_lstm,WR,0.4077669902912621,0.0,0.0,0.0,0.7131147540983607
cnn_lstm,ZP,0.791907514450867,1.0,0.5263157894736842,0.6896551724137931,0.9974226804123711
attention,JG,0.908256880733945,0.900990099009901,1.0,0.9479166666666666,0.9554334554334554
attention,JMG,0.29518072289156627,0.24025974025974026,1.0,0.387434554973822,0.6197360150848523
attention,MB,0.3556701030927835,0.4732142857142857,0.44537815126050423,0.4588744588744589,0.2645378151260504
attention,RH1,0.6323529411764706,0.3,0.6923076923076923,0.4186046511627907,0.606993006993007
attention,RH2,0.6986301369863014,0.6363636363636364,0.9459459459459459,0.7608695652173914,0.5938438438438438
attention,SG,0.32222222222222224,0.6333333333333333,0.2753623188405797,0.3838383838383838,0.4568668046928917
attention,WR,0.4077669902912621,0.0,0.0,0.0,0.7462919594067136
attention,ZP,0.8208092485549133,1.0,0.5921052631578947,0.743801652892562,0.9538795442213781
